Pin name,Power,Ground,Control,Arduino,Port,Analog,Serial,PWM,Misc,Misc2
Right,,,,,,,,,,
D15,,,,D15,PA22,,RX,X,,
D14,,,,D14,PA23,,TX,X,,
SCL,,,,D2,PA8,,SCL,X,,
SDA,,,,D0,PA9,,SDA,X,,
3.3V,3.3V,,,,,,,,,
GND,,GND,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Left,,,,,,,,,,
DAC,,,,D1,PA2,A0,,,DAC,
D4,,,,D4,PA6,A1,MOSI,X,,
D5,,,,D5,PA5,A2,MISO,X,,
D3,,,,D3,PA7,A3,SCK,X,,
D13,,,,D13,PA10,A4,,X,,
D6,,,AREFB,D6,PA4,A5,,X,,
,,,,,,,,,,
,,,,,,,,,,
Right,,,,,,,,,,
SWDIO,,,,D20,PA30,,,X,,
SWCLK,,,,D21,PA31,,,X,,
RESET,,,CONTROL,,,,,,,
GND,,GND,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
EOF,,,,,,,,,,
